gust,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season
43,20,0.006,238.27,5.92,10,32,33.80,5.60,293.43,52.50,Summer
45,18,8.55,232.68,5.28,9,30,31.27,5.49,292.06,61.06,Summer
0,16.00,4.76,196.57,4.69,7.97,26.95,28.05,4.21,246.75,200.80,Winter
17,22.52,16.91,267.09,7,11.23,39,37.22,3.70,342.89,62.18,Winter
18,18.56,8.21,223.80,5.56,9.25,31.26,26.94,5.14,278.90,47.67,Winter
20,15.61,4.72,200.52,4.68,7.77,25.93,26.80,5.38,249.87,"1,115.89",Winter
21,20.07,7.33,247.41,5.95,10.00,33.87,33.56,5.75,310.06,57.73,Winter
22,20,7.58,245.32,5.93,10.13,34.71,32.55,4.92,306.61,55.82,Winter
23,16.15,3.64,198.19,4.64,8.04,27.36,25.66,4.43,244.79,917.70,Winter
24,18.57,7.35,228.41,5.48,9.25,31.35,30.12,5.24,285.95,"1,214.33",Winter
25,17.96,6.25,216.72,5.24,8.95,30.21,28.80,4.89,270.99,49.54,Winter
26,18.53,9.35,222.65,5.55,9.24,31.24,30.16,4.67,281.62,57.67,Winter
28,17.69,3.75,213.64,5.16,8.81,29.80,27.96,4.60,264.06,378.03,Winter
29,17.16,8.35,202.82,5.05,8.55,28.66,27.22,4.33,256.41,796.44,Winter
30,15.53,2.49,190.43,4.50,7.73,26.04,24.75,4.81,234.86,177.62,Winter
31,14.24,7.24,170.46,4.20,7.10,23.93,22.44,3.95,215.45,229.91,Winter
32,18.53,7.09,223.96,5.55,9.23,31.16,29.75,4.99,280.58,55.30,Winter
33,18.52,8.61,216.46,5.55,9.23,31.19,29.51,4.11,273.48,52.14,Winter
34,16.35,5.42,202.85,4.90,8.14,27.37,26.93,4.83,255.19,279.04,Winter
36,17.32,4.54,206.76,5.19,8.63,29,27.46,4.98,257.56,46.40,Winter
37,17.07,6.34,208.74,5.12,8.50,28.83,28.20,4.75,261.64,48.58,Winter
38,17.37,7.82,209.84,5.21,8.65,29.38,28.33,4.18,264.03,59.57,Winter
39,17.71,7.02,214.85,5.31,8.82,29.82,29.09,4.44,269.52,54.32,Winter
40,16.70,2.46,195.63,5.01,8,28.56,24.69,3.93,240.03,46.15,Winter
41,16.31,9.96,192.80,4.88,8,27.10,27.04,3.94,246.74,45.51,Winter
43,18.00,7.28,215.24,5.40,8.97,30.86,27.69,3.94,268.52,50.33,Winter
44,20.67,4.04,243.87,6.20,10.30,35.26,31.95,4.34,300.70,57.88,Winter
45,22,0.134,269.23,6.72,11.15,39,32.69,6.85,326.77,61.52,Winter
46,13.81,6.27,172.21,4.14,7,23.49,23.32,4.72,217.55,44.53,Winter
48,22.01,6.64,254.62,6.60,10.97,37.44,35.22,4.95,319.01,63.91,Winter
51,21,0.31,246.36,6.21,10,36,31.84,6.32,301.36,60.43,Winter
52,28,14,331.77,8.44,14.02,48,49.06,5.74,422.89,81.62,Winter
