speed,avgPickupsCount,avgExtra,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season
20,16.5457907,5.485152791,4.95964186,8.23594186,27.94611628,28.73588209,5.598276744,270.790573,47.6302,Autumn
21,16.5363617,6.349925106,4.957180851,8.234903191,27.86223404,28.69276468,5.049737021,267.4560243,47.90258319,Autumn
22,15.97051515,4.709025152,4.787345455,7.95395303,27.00233333,27.44222879,4.84723697,255.5229221,47.52553545,Autumn
23,18.61477778,7.410464815,5.580266667,9.273675926,31.54055556,32.76559185,4.860615926,299.6368896,115.3188189,Autumn
24,14.8202,7.009334,4.4425,7.3763,24.83553333,27.24883267,5.081171333,252.042356,44.88460133,Autumn
25,11.6436,6.5512,3.49038,5.7937,19.386,21.068872,3.721624,194.311642,33.755066,Autumn
26,5.3045,2.53325,1.58895,2.6275,8.821,9.928135,2.07795,98.464725,22.5639,Autumn
28,16.86033333,8.3595,5.0503,8.390166667,29.19266667,28.54374333,1.657843333,259.4925667,51.76871667,Autumn
30,23.156,11.33151,6.9441,11.54,38.259,44.78195,6.32055,373.41351,69.98005,Autumn
0,14.6466378,2.508828819,4.390894488,7.29070748,24.45045669,24.54230173,4.640876929,233.35173,149.3623448,Spring
3,15.47508163,2.416524592,4.639665306,7.705218878,25.63910204,26.07848388,4.982878265,243.2623156,249.1533254,Spring
5,15.50651613,3.967845484,4.648333065,7.71986621,26.04275806,25.93593782,4.676422823,246.3942881,307.124964,Spring
6,16.25544079,4.364786184,4.873490132,8.095354276,27.28542105,27.67311829,5.243451908,262.0637936,442.4510021,Spring
7,15.75414865,3.34156723,4.723068243,7.842282838,26.5247973,26.05879899,5.249373108,251.754209,174.2741077,Spring
8,16.78259639,4.59541759,5.031442771,8.357025904,28.31293373,28.3752347,5.256368916,268.9184852,177.3543693,Spring
9,16.94379275,4.775671606,5.079596891,8.436091192,28.43737824,29.15732896,5.584802073,277.141735,125.9668322,Spring
10,16.69510417,5.393080677,5.005095313,8.31317224,28.03113542,28.70486833,5.668408281,271.6016669,340.6382566,Spring
11,17.54000524,5.853373246,5.258923037,8.73644178,29.48595812,30.06995613,5.46853377,281.8399582,351.0960221,Spring
