dewpoint,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,DayWeek,
19,15.82,5.24,195.90,4.67,7.88,26,25.89,4.73,244.37,128.98,WeekDay,
20,15.25,4.09,190.98,4.36,7.59,26.48,24.12,3.56,234.91,54.36,Weekend,
20,13.52,4.38,166.52,4.03,6.73,22.30,22.53,3.87,208.09,93.08,WeekDay,
21,16.90,3.95,211.06,4.88,8.42,29.22,26.26,4.27,275.63,516.97,Weekend,
21,16.37,5.73,198.30,4.89,8.16,26.99,27.04,4.49,248.63,372.85,WeekDay,
22,17.91,4.09,224.87,5.37,8.92,31.09,28.19,4.42,275.86,317.68,Weekend,
22,16.53,5.73,202.87,4.95,8.23,27.21,27.87,4.97,254.63,415.36,WeekDay,
23,17.96,5.08,219.84,5.29,8.95,31.34,27.35,4.11,270.70,52.02,Weekend,
23,15.20,4.65,193.90,4.54,7.57,25.10,26.04,5.16,241.89,242.07,WeekDay,
24,15.59,4.98,195.39,4.68,7.76,27.03,24.81,3.66,241.28,48.14,Weekend,
24,15.71,5.72,202.70,4.71,7.82,26.15,27.76,4.87,253.59,412.90,WeekDay,
25,17.32,3.23,216.06,5.19,8.63,30.08,26.37,4.38,263.86,54.46,Weekend,
25,17.23,6.35,214.88,5.17,8.59,28.52,29.30,5.45,269.74,57.82,WeekDay,
26,16.85,1.96,205.16,4.98,8.39,29.15,25.38,4.63,250.58,139.87,Weekend,
26,17.16,5.98,217.69,5.15,8.55,28.39,29.36,5.37,272.10,58.17,WeekDay,
27,15.41,3.92,196.63,4.62,7.67,26.78,24.82,4.10,256.88,125.66,Weekend,
27,16.77,7.43,215.69,5.03,8.35,27.85,29.74,5.22,271.46,401.19,WeekDay,
28,16.61,2.05,206.87,4.98,8.27,28.66,25.90,5.16,253.23,235.71,Weekend,
28,16.85,5.75,216.17,5.05,8.39,27.94,29.19,5.31,269.86,"3,836.30",WeekDay,
29,17.58,3.73,222.69,5.27,8.76,30.34,28.94,5.00,274.39,450.23,Weekend,
29,16.43,6.49,206.87,4.93,8.19,27.24,28.41,5.01,259.90,-264.90,WeekDay,
30,13.94,2.21,172.17,4.18,6.94,24,21.47,3.88,210.85,522.14,Weekend,
30,17.01,6.55,218.54,5.10,8.47,28.21,29.83,5.70,274.20,264.91,WeekDay,
31,15.56,1.69,190.34,4.61,7.74,26.88,23.60,4.70,232.74,75.15,Weekend,
31,14.44,5.26,186.74,4.33,7.19,23.86,25.47,4.85,233.87,128.08,WeekDay,
32,19.53,1.19,233.68,5.86,9.73,33.82,29.07,5.49,285.01,148.66,Weekend,
32,16.37,7.04,210.52,4.91,8.15,27.14,29.21,5.29,265.12,261.21,WeekDay,
33,18.74,2.98,232.81,5.44,9.34,32.46,29.27,5.38,285.40,319.96,Weekend,
